rating,helpfulness,hair_color,brand_name,price_usd,review_length
1,0.5076919794082642,black,Algenist,38.0,588
4,0.8709679841995239,,Algenist,70.0,535
2,,brown,Algenist,74.0,278
4,0.625,blonde,Algenist,70.0,216
5,0.7272729873657227,,Algenist,96.0,422
5,,,Algenist,74.0,41
5,1.0,brown,Algenist,58.0,513
5,1.0,black,Algenist,85.0,206
5,1.0,brown,Algenist,38.0,417
4,0.125,brown,Algenist,38.0,349
4,0.4285709857940674,,Algenist,70.0,90
4,1.0,red,Algenist,70.0,100
5,,black,Algenist,85.0,543
5,0.8999999761581421,,Algenist,70.0,140
5,1.0,blonde,Algenist,58.0,400
4,1.0,blonde,Algenist,38.0,440
4,0.9130430221557616,,Algenist,74.0,661
5,0.800000011920929,blonde,Algenist,38.0,554
2,,blonde,Algenist,84.0,258
3,0.800000011920929,blonde,Algenist,40.0,105
5,,,Algenist,74.0,274
3,0.7258059978485107,blonde,Algenist,84.0,259
1,1.0,black,Algenist,74.0,420
2,0.5,brown,Algenist,74.0,245
2,0.5,brown,Algenist,58.0,121
2,0.5,brown,Algenist,85.0,99
5,0.8333330154418945,blonde,Algenist,85.0,212
5,1.0,black,Algenist,38.0,230
5,0.8666669726371765,brown,Algenist,84.0,270
4,0.9230769872665404,,Algenist,85.0,344
5,0.6800000071525574,brown,Algenist,84.0,88
5,0.8181819915771484,blonde,Algenist,85.0,161
4,0.6666669845581055,brown,Algenist,38.0,1015
4,0.9090909957885742,brown,Algenist,58.0,428
5,1.0,brown,Algenist,58.0,292
2,0.3333329856395721,,Algenist,85.0,187
5,1.0,blonde,Algenist,72.0,370
5,1.0,black,Algenist,85.0,326
5,0.5953760147094727,black,Algenist,85.0,535
5,1.0,black,Algenist,58.0,70
5,0.8888890147209167,auburn,Algenist,58.0,279
1,0.75,brown,Algenist,25.0,100
2,0.8939390182495117,black,Algenist,85.0,614
5,1.0,brown,Algenist,58.0,724
1,0.3333329856395721,blonde,Algenist,85.0,198
4,1.0,black,Algenist,85.0,227
5,1.0,black,Algenist,85.0,367
5,1.0,,Algenist,74.0,58
5,1.0,brown,Algenist,98.0,170
5,0.5,,Algenist,74.0,478
2,0.25,,Algenist,70.0,317
5,0.8333330154418945,blonde,Algenist,58.0,347
3,0.5555559992790222,blonde,Algenist,58.0,135
5,0.875,brown,Algenist,25.0,76
4,1.0,black,Algenist,85.0,248
2,0.699999988079071,black,Algenist,98.0,212
1,,,Algenist,72.0,72
5,1.0,auburn,Algenist,58.0,133
5,,brown,Algenist,38.0,383
5,1.0,,Algenist,85.0,809
5,0.9411759972572328,brown,Algenist,70.0,117
3,1.0,black,Algenist,40.0,902
5,0.75,black,Algenist,85.0,264
4,0.7692310214042664,,Algenist,96.0,241
5,0.5,blonde,Algenist,58.0,339
5,1.0,brown,Algenist,58.0,438
5,1.0,blonde,Algenist,58.0,322
2,0.9565219879150392,,Algenist,74.0,163
5,0.5555559992790222,,Algenist,74.0,160
5,1.0,brown,Algenist,85.0,303
5,0.9333329796791076,,Algenist,85.0,365
5,1.0,brown,Algenist,40.0,361
4,1.0,blonde,Algenist,58.0,501
5,1.0,,Algenist,74.0,182
2,0.6666669845581055,,Algenist,74.0,256
5,0.9166669845581056,blonde,Algenist,58.0,515
4,1.0,blonde,Algenist,58.0,349
4,0.6666669845581055,brown,Algenist,85.0,299
1,0.5,,Algenist,74.0,69
1,0.4444440007209778,,Algenist,85.0,140
5,0.7142860293388367,brown,Algenist,74.0,570
5,0.6666669845581055,brown,Algenist,38.0,391
1,0.1428570002317428,blonde,Algenist,85.0,226
5,1.0,brown,Algenist,58.0,243
3,0.2000000029802322,black,Algenist,85.0,213
4,0.7619050145149231,black,Algenist,85.0,1551
1,0.5,,Algenist,70.0,289
5,0.6666669845581055,,Algenist,74.0,74
2,1.0,brown,Algenist,25.0,188
5,1.0,auburn,Algenist,38.0,425
5,,blonde,Algenist,38.0,173
5,0.7142860293388367,black,Algenist,85.0,136
5,0.800000011920929,brown,Algenist,40.0,411
2,0.8333330154418945,,Algenist,74.0,485
5,0.75,brown,Algenist,85.0,522
5,1.0,,Algenist,85.0,205
5,1.0,,Algenist,85.0,378
3,0.8333330154418945,brown,Algenist,96.0,347
5,0.9111109972000122,brown,Algenist,85.0,811
5,1.0,,Algenist,85.0,191
1,0.4285709857940674,brown,Algenist,98.0,178
1,0.6521739959716797,brown,Algenist,85.0,139
3,1.0,blonde,Algenist,58.0,78
5,0.800000011920929,brown,Algenist,98.0,424
5,0.75,,Algenist,70.0,523
5,0.949999988079071,blonde,Algenist,25.0,169
5,0.800000011920929,brown,Algenist,96.0,247
5,0.8333330154418945,black,Algenist,98.0,633
1,0.7692310214042664,brown,Algenist,40.0,225
1,0.0909091010689735,brown,Algenist,58.0,220
4,0.75,black,Algenist,98.0,251
2,0.625,black,Algenist,38.0,273
5,0.5,brown,Algenist,85.0,177
5,0.9523810148239136,blonde,Algenist,85.0,388
5,1.0,brown,Algenist,58.0,238
5,1.0,black,Algenist,38.0,664
5,0.657895028591156,blonde,Algenist,85.0,556
1,0.699999988079071,black,Algenist,85.0,237
5,1.0,black,Algenist,85.0,54
4,0.6666669845581055,blonde,Algenist,25.0,324
1,0.800000011920929,brown,Algenist,85.0,209
5,1.0,auburn,Algenist,85.0,1609
5,0.642857015132904,brown,Algenist,85.0,499
5,0.5949370265007019,blonde,Algenist,85.0,1264
5,0.625,,Algenist,58.0,124
1,0.7222219705581665,red,Algenist,85.0,248
4,,black,Algenist,85.0,312
1,0.857142984867096,brown,Algenist,25.0,65
3,,blonde,Algenist,74.0,142
3,0.800000011920929,brown,Algenist,85.0,350
